Population,Container,Sex,Habitat,Treatment,Egg
2,19,Female,A,Cont,2
2,19,Female,A,Exp,6
2,19,Female,B,Cont,3
2,19,Female,B,Exp,4
2,19,Female,B,Cont,6
2,19,Female,B,Exp,8
3,21,Female,A,Cont,5
3,21,Female,A,Exp,11
3,21,Female,A,Cont,8
3,21,Female,A,Exp,13
3,21,Female,B,Cont,7
3,21,Female,B,Exp,7
3,21,Female,B,Cont,4
3,21,Female,B,Exp,10
3,23,Female,A,Cont,6
3,23,Female,A,Exp,11
3,23,Female,A,Cont,6
3,23,Female,A,Exp,9
3,23,Female,B,Cont,5
3,23,Female,B,Exp,4
3,23,Female,B,Cont,9
3,23,Female,B,Exp,12
3,25,Female,A,Cont,6
3,25,Female,A,Exp,2
3,25,Female,A,Cont,6
3,25,Female,A,Exp,10
3,25,Female,B,Cont,4
3,25,Female,B,Exp,12
3,25,Female,B,Cont,4
3,25,Female,B,Exp,8
3,27,Female,A,Cont,6
3,27,Female,A,Exp,22
3,27,Female,A,Cont,5
3,27,Female,A,Exp,5
3,27,Female,B,Cont,6
3,27,Female,B,Exp,6
3,27,Female,B,Cont,5
3,27,Female,B,Exp,13
3,29,Female,A,Cont,5
3,29,Female,A,Exp,8
3,29,Female,A,Cont,2
3,29,Female,A,Exp,5
3,29,Female,B,Cont,11
3,29,Female,B,Exp,10
3,29,Female,B,Cont,4
3,29,Female,B,Exp,11
4,31,Female,A,Cont,8
4,31,Female,A,Exp,3
4,31,Female,A,Cont,1
4,31,Female,A,Exp,6
4,31,Female,B,Cont,4
4,31,Female,B,Exp,3
4,31,Female,B,Cont,1
4,31,Female,B,Exp,8
4,33,Female,A,Cont,3
4,33,Female,A,Exp,7
4,33,Female,A,Cont,0
4,33,Female,A,Exp,6
4,33,Female,B,Cont,5
4,33,Female,B,Exp,7
4,33,Female,B,Cont,7
4,33,Female,B,Exp,1
4,35,Female,A,Cont,1
4,35,Female,A,Exp,2
4,35,Female,A,Cont,1
4,35,Female,A,Exp,4
4,35,Female,B,Cont,2
4,35,Female,B,Exp,3
4,35,Female,B,Cont,4
4,35,Female,B,Exp,10
4,37,Female,A,Cont,4
4,37,Female,A,Exp,4
4,37,Female,A,Cont,5
4,37,Female,A,Exp,9
4,37,Female,B,Cont,4
4,37,Female,B,Exp,5
4,37,Female,B,Cont,4
4,37,Female,B,Exp,2
4,39,Female,A,Cont,2
4,39,Female,A,Exp,14
4,39,Female,A,Cont,3
4,39,Female,A,Exp,4
4,39,Female,B,Cont,7
4,39,Female,B,Exp,0
4,39,Female,B,Cont,3
4,39,Female,B,Exp,9
5,41,Female,A,Cont,1
5,41,Female,A,Exp,7
5,41,Female,A,Cont,0
5,41,Female,A,Exp,4
5,41,Female,B,Cont,4
5,41,Female,B,Exp,9
5,41,Female,B,Cont,7
5,41,Female,B,Exp,4
5,43,Female,A,Cont,5
5,43,Female,A,Exp,6
5,43,Female,A,Cont,2
5,43,Female,A,Exp,4
5,43,Female,B,Cont,2
5,43,Female,B,Exp,8
5,43,Female,B,Cont,2
5,43,Female,B,Exp,5
5,45,Female,A,Cont,3
5,45,Female,A,Exp,2
5,45,Female,A,Cont,7
5,45,Female,A,Exp,4
5,45,Female,B,Cont,4
5,45,Female,B,Exp,4
5,45,Female,B,Cont,1
5,45,Female,B,Exp,6
5,47,Female,A,Cont,2
5,47,Female,A,Exp,5
5,47,Female,A,Cont,2
5,47,Female,A,Exp,5
5,47,Female,B,Cont,4
5,47,Female,B,Exp,5
5,47,Female,B,Cont,1
5,47,Female,B,Exp,1
5,49,Female,A,Cont,0
5,49,Female,A,Exp,4
5,49,Female,A,Cont,3
5,49,Female,A,Exp,8
5,49,Female,B,Cont,5
5,49,Female,B,Exp,4
5,49,Female,B,Cont,2
5,49,Female,B,Exp,3
6,51,Female,A,Cont,4
6,51,Female,A,Exp,8
6,51,Female,A,Cont,4
6,51,Female,A,Exp,6
6,51,Female,B,Cont,3
6,51,Female,B,Exp,7
6,51,Female,B,Cont,0
6,51,Female,B,Exp,3
6,53,Female,A,Cont,6
6,53,Female,A,Exp,6
6,53,Female,A,Cont,3
6,53,Female,A,Exp,8
6,53,Female,B,Cont,1
6,53,Female,B,Exp,3
6,53,Female,B,Cont,8
6,53,Female,B,Exp,7
6,55,Female,A,Cont,4
6,55,Female,A,Exp,2
6,55,Female,A,Cont,5
6,55,Female,A,Exp,5
6,55,Female,B,Cont,3
6,55,Female,B,Exp,12
6,55,Female,B,Cont,2
6,55,Female,B,Exp,10
6,57,Female,A,Cont,1
6,57,Female,A,Exp,4
6,57,Female,A,Cont,2
6,57,Female,A,Exp,2
6,57,Female,B,Cont,3
6,57,Female,B,Exp,6
6,57,Female,B,Cont,2
6,57,Female,B,Exp,5
6,59,Female,A,Cont,4
6,59,Female,A,Exp,4
6,59,Female,A,Cont,2
6,59,Female,A,Exp,9
6,59,Female,B,Cont,3
6,59,Female,B,Exp,12
6,59,Female,B,Cont,2
6,59,Female,B,Exp,6
7,61,Female,A,Cont,7
7,61,Female,A,Exp,7
7,61,Female,A,Cont,14
7,61,Female,A,Exp,17
7,61,Female,B,Cont,7
7,61,Female,B,Exp,7
7,61,Female,B,Cont,5
7,61,Female,B,Exp,16
7,63,Female,A,Cont,7
7,63,Female,A,Exp,7
7,63,Female,A,Cont,3
7,63,Female,A,Exp,4
7,63,Female,B,Cont,2
7,63,Female,B,Exp,6
7,63,Female,B,Cont,4
7,63,Female,B,Exp,6
7,65,Female,A,Cont,5
7,65,Female,A,Exp,5
7,65,Female,A,Cont,2
7,65,Female,A,Exp,2
7,65,Female,B,Cont,3
7,65,Female,B,Exp,4
7,65,Female,B,Cont,2
7,65,Female,B,Exp,6
7,67,Female,A,Cont,1
7,67,Female,A,Exp,9
7,67,Female,A,Cont,8
7,67,Female,A,Exp,15
7,67,Female,B,Cont,5
7,67,Female,B,Exp,18
7,67,Female,B,Cont,4
7,67,Female,B,Exp,10
7,69,Female,A,Cont,2
7,69,Female,A,Exp,3
7,69,Female,A,Cont,2
7,69,Female,A,Exp,11
7,69,Female,B,Cont,7
7,69,Female,B,Exp,6
7,69,Female,B,Cont,2
7,69,Female,B,Exp,8
8,71,Female,A,Cont,1
8,71,Female,A,Exp,3
8,71,Female,A,Cont,3
8,71,Female,A,Exp,1
8,71,Female,B,Cont,3
8,71,Female,B,Exp,4
8,71,Female,B,Cont,0
8,71,Female,B,Exp,7
8,73,Female,A,Cont,1
8,73,Female,A,Exp,1
8,73,Female,A,Cont,0
8,73,Female,A,Exp,2
8,73,Female,B,Cont,2
8,73,Female,B,Exp,2
8,73,Female,B,Cont,2
8,73,Female,B,Exp,4
8,75,Female,A,Cont,2
8,75,Female,A,Exp,6
8,75,Female,A,Cont,3
8,75,Female,A,Exp,1
8,75,Female,B,Cont,2
8,75,Female,B,Exp,8
8,75,Female,B,Cont,2
8,75,Female,B,Exp,3
8,77,Female,A,Cont,0
8,77,Female,A,Exp,6
8,77,Female,A,Cont,3
8,77,Female,A,Exp,3
8,77,Female,B,Cont,0
8,77,Female,B,Exp,3
8,77,Female,B,Cont,0
8,77,Female,B,Exp,1
8,79,Female,A,Cont,2
8,79,Female,A,Exp,2
8,79,Female,A,Cont,2
8,79,Female,A,Exp,2
8,79,Female,B,Cont,0
8,79,Female,B,Exp,2
8,79,Female,B,Cont,1
8,79,Female,B,Exp,0
9,81,Female,A,Cont,5
9,81,Female,A,Exp,12
9,81,Female,A,Cont,7
9,81,Female,A,Exp,7
9,81,Female,B,Cont,10
9,81,Female,B,Exp,13
9,81,Female,B,Cont,6
9,81,Female,B,Exp,8
9,83,Female,A,Cont,4
9,83,Female,A,Exp,18
9,83,Female,A,Cont,7
9,83,Female,A,Exp,19
9,83,Female,B,Cont,11
9,83,Female,B,Exp,6
9,83,Female,B,Cont,14
9,83,Female,B,Exp,15
9,85,Female,A,Cont,8
9,85,Female,A,Exp,15
9,85,Female,A,Cont,5
9,85,Female,A,Exp,6
9,85,Female,B,Cont,9
9,85,Female,B,Exp,7
9,85,Female,B,Cont,15
9,85,Female,B,Exp,12
9,87,Female,A,Cont,1
9,87,Female,A,Exp,9
9,87,Female,A,Cont,5
9,87,Female,A,Exp,6
9,87,Female,B,Cont,4
9,87,Female,B,Exp,7
9,87,Female,B,Cont,3
9,87,Female,B,Exp,22
9,89,Female,A,Cont,5
9,89,Female,A,Exp,11
9,89,Female,A,Cont,0
9,89,Female,A,Exp,16
9,89,Female,B,Cont,5
9,89,Female,B,Exp,14
9,89,Female,B,Cont,13
9,89,Female,B,Exp,10
10,91,Female,A,Cont,16
10,91,Female,A,Exp,12
10,91,Female,A,Cont,14
10,91,Female,A,Exp,21
10,91,Female,B,Cont,12
10,91,Female,B,Exp,19
10,91,Female,B,Cont,13
10,91,Female,B,Exp,10
10,93,Female,A,Cont,8
10,93,Female,A,Exp,8
10,93,Female,A,Cont,29
10,93,Female,A,Exp,11
10,93,Female,B,Cont,22
10,93,Female,B,Exp,32
10,93,Female,B,Cont,9
10,93,Female,B,Exp,32
10,95,Female,A,Cont,10
10,95,Female,A,Exp,11
10,95,Female,A,Cont,2
10,95,Female,A,Exp,18
10,95,Female,B,Cont,10
10,95,Female,B,Exp,16
10,95,Female,B,Cont,4
10,95,Female,B,Exp,16
10,97,Female,A,Cont,6
10,97,Female,A,Exp,20
10,97,Female,A,Cont,8
10,97,Female,A,Exp,8
10,97,Female,B,Cont,12
10,97,Female,B,Exp,13
10,97,Female,B,Cont,15
10,97,Female,B,Exp,6
10,99,Female,A,Cont,11
10,99,Female,A,Exp,15
10,99,Female,A,Cont,17
10,99,Female,A,Exp,15
10,99,Female,B,Cont,12
10,99,Female,B,Exp,19
10,99,Female,B,Cont,7
10,99,Female,B,Exp,16
11,101,Female,A,Cont,1
11,101,Female,A,Exp,3
11,101,Female,A,Cont,5
11,101,Female,A,Exp,2
11,101,Female,B,Cont,2
11,101,Female,B,Exp,5
11,101,Female,B,Cont,3
11,101,Female,B,Exp,7
11,103,Female,A,Cont,6
11,103,Female,A,Exp,3
11,103,Female,A,Cont,5
11,103,Female,A,Exp,4
11,103,Female,B,Cont,2
11,103,Female,B,Exp,6
11,103,Female,B,Cont,3
11,103,Female,B,Exp,4
11,105,Female,A,Cont,3
11,105,Female,A,Exp,5
11,105,Female,A,Cont,4
11,105,Female,A,Exp,4
11,105,Female,B,Cont,3
11,105,Female,B,Exp,8
11,105,Female,B,Cont,4
11,105,Female,B,Exp,6
11,107,Female,A,Cont,0
11,107,Female,A,Exp,7
11,107,Female,A,Cont,3
11,107,Female,A,Exp,6
11,107,Female,B,Cont,2
11,107,Female,B,Exp,0
11,107,Female,B,Cont,1
11,107,Female,B,Exp,5
11,109,Female,A,Cont,3
11,109,Female,A,Exp,7
11,109,Female,A,Cont,0
11,109,Female,A,Exp,0
11,109,Female,B,Cont,3
11,109,Female,B,Exp,5
11,109,Female,B,Cont,3
11,109,Female,B,Exp,2
12,111,Female,A,Cont,0
12,111,Female,A,Exp,5
12,111,Female,A,Cont,0
12,111,Female,A,Exp,1
12,111,Female,B,Cont,3
12,111,Female,B,Exp,0
12,111,Female,B,Cont,3
12,111,Female,B,Exp,4
12,113,Female,A,Cont,2
12,113,Female,A,Exp,1
12,113,Female,A,Cont,0
12,113,Female,A,Exp,1
12,113,Female,B,Cont,1
12,113,Female,B,Exp,4
12,113,Female,B,Cont,2
12,113,Female,B,Exp,1
12,115,Female,A,Cont,1
12,115,Female,A,Exp,0
12,115,Female,A,Cont,1
12,115,Female,A,Exp,4
12,115,Female,B,Cont,3
12,115,Female,B,Exp,1
12,115,Female,B,Cont,1
12,115,Female,B,Exp,4
12,117,Female,A,Cont,2
12,117,Female,A,Exp,6
12,117,Female,A,Cont,1
12,117,Female,A,Exp,0
12,117,Female,B,Cont,3
12,117,Female,B,Exp,5
12,117,Female,B,Cont,1
12,117,Female,B,Exp,1
12,119,Female,A,Cont,1
12,119,Female,A,Exp,1
12,119,Female,A,Cont,3
12,119,Female,A,Exp,1
12,119,Female,B,Cont,0
12,119,Female,B,Exp,0
12,119,Female,B,Cont,0
12,119,Female,B,Exp,0
